id,tag,source,as_of
c4890,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4961,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4967,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4975,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4992,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5066,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5080,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5110,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5125,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5133,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5139,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5151,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5168,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5180,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5201,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5207,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5214,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5223,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5227,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5228,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5233,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5241,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5244,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5247,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5248,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5249,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c5251,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
