name,sector,source,as_of
(주)경보전력,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경복실업,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북가스,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북농민축산,식료품 제조업|제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북레미콘,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북봉투사,인쇄 및 기록매체 복제업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북캐터링,제조업|식료품 제조업|숙박 및 음식점업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북콘크리트,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경북텍,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경상관광여행사,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경성소방방재,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경성인회석농업,농업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경성화인켐,고무 및 플라스틱제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경신텔레콤,정보통신업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경운건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경원소프트,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경일소방,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경일정보통신공사,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경일항공여행사,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경일허니문여행사,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경일환경,폐기물 수집 운반 처리 및 원료 재생업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경주산림환경,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경진,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경진씨앤이,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경진이엔씨,건축 기술 엔지니어링 및 기타 과학기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경형건설,건설업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)계림전력,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고공,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고구마,출판 영상 방송통신 및 정보서비스업|정보통신업|정보서비스업|컴퓨터 프로그래밍 시스템 통합 및 관리업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고려광고,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고려금속창호,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고려승강기,사업시설 관리 사업 지원 및 임대 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고려토목기술공사,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고성전기,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고속관광영남,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고신테크,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고운정보통신,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고유커뮤니케이션,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고은에이디,종합 건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)고전사,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)골든벨기획,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)곰두리종합관리,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)곰레미콘,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공간디자인건축,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공간창조,그 밖의 제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공간채움,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공감씨즈,정보통신업|예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공감이엔지,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)공감커뮤니케이션즈,예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광개토식품,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광림,정보통신업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광명엔지니어링,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광명테크,그 밖의 기계 및 장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광명티엠씨,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광성정공,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광성정공,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광성테크엠,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광전이앤에스,도매 및 소매업|건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)광진철강,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)교육종합도서,도매 및 상품 중개업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)교통시스템연구소,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)구룡관광여행사,예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)구마이엔씨,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)구봉정보기술,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)구오기업,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)구일종합관리,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국민관광,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국일종합관리,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국정,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제그린케어,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제뉴스 대구본부,출판업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제물류기계,그 밖의 운송장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제바이오사이언스,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제시스템,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제앤텍,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제에너텍,그 밖의 모든 업종,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제엘리베이터,건설업|그 밖의 기계 및 장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제전기,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제지오컨설팅,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)국제피스코,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)군위건설기계,광업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)군위수도,수도업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)굿메니지먼트,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)굿푸드시스템,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그랜드관광,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
